Site,Subplot,Core_ID,Phenocam,Community,Snowmelt,DOY,Depth Increment,Depth_Type,Scanned,Overall Wet Weight (g),Volume (cm3(,Depth Wet Weight (g),HALVED Wet Weight,Subsection Wet Weight (g),Wet weight bulk density,Cage Weight (g),Subsection Dried Weight (g),sub_scaled,scaled_dry,Root Dry Biomass Total (g),dry_bulkdensity,rootmass_bulkdensity,Black_branch_biomass,Brown_branch_biomass,Sticky_biomass,Stringy_biomass,Branched_Biomass,Thick_biomass,White_branched_biomass,Seed_biomass,Fine_branched_biomass,Skinny_white_biomass,White_Skinny,Big_Brown,Big_Branched,Sprout,Chunky_white_Branched,Yellow_Branched,Thicker_orangey branched,White_chunky,Chunky orange branched,flat,Flat_branched,thicker_branched,Black_Chunky,light branched,woody_branched
Kluane,A,P1,KP7,Shrub,167,173,0-5,Top,Y,319.04,192.417,123.59,NA,9.24,0.597296497,8.66,1.4,0.151515152,17.41363636,0.0039,0.090499469,0.043094175,0,0,0,0,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,A,P1,KP7,Shrub,167,173,05-10,Bottom,Y,319.04,192.417,172.55,NA,9.24,0.83828352,11.25,1.4,0.151515152,24.43939394,0.0158,0.127012655,0.124397054,0,0,0,0.0001,0.0156,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,8,P2,KP8,Shrub,173,208,0-5,Top,Y,496.25,192.417,100.44,NA,4.95,0.482649662,7.57,0.91,0.183838384,17.07307071,0.0206,0.088729534,0.232166215,0,0,0,0.0014,0,0,0,0.0014,0.0178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,8,P2,KP8,Shrub,173,208,05-15,Middle,Y,496.25,384.834,241.04,NA,4.95,0.588331592,14.63,0.91,0.183838384,41.62284848,0.006,0.108157929,0.055474435,0,0,0,0.0027,0.0014,0,0,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,8,P2,KP8,Shrub,173,208,15-20,Bottom,Y,496.25,384.834,112.3,NA,4.95,0.262658705,11.22,0.91,0.183838384,18.58238384,0.0118,0.048286752,0.244373447,0,0,0.0031,0.0015,0.0072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,8,P3,KP8,Shrub,173,225,0-5,Top,Y,860.48,192.417,121.31,NA,5.48,0.579470629,9.81,0.91,0.166058394,18.51551095,0.0069,0.096225962,0.07170622,0,0,0,0.001,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,8,P3,KP8,Shrub,173,225,05-15,Middle,Y,860.48,384.834,272.86,NA,5.48,0.668470042,15.61,0.91,0.166058394,42.7185219,0.0067,0.111005062,0.060357608,0,0,0,0.0034,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,8,P3,KP8,Shrub,173,225,15-25,Middle2,Y,860.48,384.834,256.61,NA,5.48,0.627309437,15.2,0.91,0.166058394,40.08815693,0.0078,0.104169998,0.074877606,0,0,0,0.0025,0.0024,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,8,P3,KP8,Shrub,173,225,25-30,Bottom,Y,860.48,192.417,147.16,NA,5.48,0.696144312,13.21,0.91,0.166058394,22.2435219,0.0112,0.115600607,0.096885305,0,0,0,0.0011,0.0038,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,B,P1,KP9,Shrub,172,173,0-5,Top,Y,458.09,192.417,198.28,NA,11.6,0.952046857,15.09,3.46,0.298275862,54.64115517,0.0058,0.283972597,0.020424506,0,0,0,0.0003,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,B,P1,KP9,Shrub,172,173,05-10,Middle,Y,458.09,192.417,203.59,NA,11.6,0.878040922,34.64,3.46,0.298275862,50.3937069,0.0111,0.261898413,0.042382846,0,0,0,0.0005,0.0106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,7,P2,KP7,Shrub,167,208,0-5,Top,Y,371.61,192.417,49.44,NA,5.2,0.213078886,8.44,1.6,0.307692308,12.61538462,0.0219,0.065562734,0.334031219,0.0139,0.0063,0,0.0005,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,7,P2,KP7,Shrub,167,208,05-15,Middle,Y,371.61,384.834,170.35,NA,5.2,0.407370451,13.58,1.6,0.307692308,48.23692308,0.0096,0.125344754,0.076588766,0.0043,0.0019,0,0.0022,0,0,0.0002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,7,P2,KP7,Shrub,167,208,15-20,Bottom,Y,371.61,192.417,101.26,NA,5.2,0.463836355,12.01,1.6,0.307692308,27.46153846,0.0281,0.142718878,0.196890561,0.0219,0.0034,0,0.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,7,P3,KP7,Shrub,167,225,0-5,Top,Y,560.47,192.417,78.97,NA,6.22,0.366755536,8.4,1.58,0.254019293,17.92614148,0.0019,0.093162982,0.020394367,0,0,0,0.0003,0.0006,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,7,P3,KP7,Shrub,167,225,05-15,Middle,Y,560.47,384.834,205.63,NA,6.22,0.495148558,15.08,1.58,0.254019293,48.40337621,0.0012,0.125777286,0.009540673,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,7,P3,KP7,Shrub,167,225,15-25,Middle2,Y,560.47,384.834,186.13,NA,6.22,0.443697802,15.38,1.58,0.254019293,43.37379421,0.0077,0.112707802,0.068318252,0,0,0,0.002,0.0043,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,7,P3,KP7,Shrub,167,225,25-30,Bottom,Y,560.47,192.417,35.06,NA,6.22,0.148739457,6.44,1.58,0.254019293,7.270032154,0.007,0.037782692,0.185270019,0,0,0,0.004,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,C,P1,KP8,Shrub,173,173,0-5,Top,Y,414.54,192.417,190.1,NA,6.53,0.927412859,11.65,0.64,0.098009188,17.48973966,0.0072,0.090894982,0.079212294,0,0,0,0.0001,0.0028,0,0,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,C,P1,KP8,Shrub,173,173,05-10,Bottom,Y,414.54,192.417,210.43,NA,6.53,0.996637511,18.66,0.64,0.098009188,18.79522205,0.0412,0.097679634,0.421787004,0,0,0,0,0.0275,0,0,0,0,0,0,0,0.0137,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,5,P2,KP5,Mix,169,208,0-5,Top,Y,402.69,192.417,59.54,NA,7.05,0.270194422,7.55,3.48,0.493617021,25.66314894,0.0033,0.133372566,0.02474272,0,0.0014,0,0,0,0.0006,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,5,P2,KP5,Mix,169,208,05-15,Middle,Y,402.69,384.834,185.02,NA,7.05,0.445464798,13.59,3.48,0.493617021,84.62076596,0.0112,0.219889007,0.050934788,0.0058,0.0011,0,0.0018,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,5,P2,KP5,Mix,169,208,15-20,Bottom,Y,402.69,192.417,112.89,NA,7.05,0.513052381,14.17,3.48,0.493617021,48.72987234,0.0012,0.253251388,0.004738375,0,0,0,0.0004,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,5,P3,KP5,Mix,169,225,0-5,Top,Y,686.1,192.417,74.69,NA,5.15,0.339107251,9.44,1.52,0.295145631,19.25825243,0.002,0.100086024,0.01998281,0,0,0,0.0001,0.0009,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,5,P3,KP5,Mix,169,225,05-15,Middle,Y,686.1,384.834,210.4,NA,5.15,0.506971837,15.3,1.52,0.295145631,57.58291262,0.0042,0.149630523,0.028069139,0,0,0,0.0006,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,5,P3,KP5,Mix,169,225,15-25,Middle2,Y,686.1,384.834,223.73,NA,5.15,0.540258917,15.82,1.52,0.295145631,61.36372816,0.005,0.159455059,0.031356798,0,0,0,0,0.0006,0.0038,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,5,P3,KP5,Mix,169,225,25-30,Bottom,Y,686.1,192.417,93.66,NA,5.15,0.311043203,33.81,1.52,0.295145631,17.66446602,0.0036,0.091803042,0.039214387,0,0,0,0.0001,0.0014,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,D,P1,KP4,Mix,172,173,0-5,Top,Y,322.76,192.417,159.62,NA,4.17,0.71859555,21.35,0.62,0.148681055,20.5581295,0.0006,0.106841545,0.005615793,0,0,0,0.0001,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,D,P1,KP4,Mix,172,173,05-10,Bottom,Y,322.76,192.417,150.66,NA,4.17,0.712463036,13.57,0.62,0.148681055,20.38268585,0.002,0.105929756,0.018880436,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,9,P2,KP9,Shrub,172,208,0-5,Top,Y,351.48,192.417,61.27,NA,6.89,0.274196147,8.51,2.95,0.428156749,22.58955007,0.0152,0.117398931,0.12947307,0,0,0,0.0011,0.0141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,9,P2,KP9,Shrub,172,208,05-15,Middle,Y,351.48,384.834,163.13,NA,6.89,0.389544583,13.22,2.95,0.428156749,64.18497823,0.0073,0.166786142,0.043768624,0,0,0,0.0007,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,9,P2,KP9,Shrub,172,208,15-20,Bottom,Y,351.48,192.417,83.72,NA,6.89,0.377617362,11.06,2.95,0.428156749,31.10986938,0.0103,0.161679422,0.063706314,0,0,0,0.0005,0.0091,0,0,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,9,P3,KP9,Shrub,172,225,0-5,Top,Y,726.15,192.417,67.52,NA,5.59,0.301012904,9.6,1.41,0.252236136,14.60951699,0.0016,0.075926332,0.021073058,0,0,0,0.0004,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,9,P3,KP9,Shrub,172,225,05-15,Middle,Y,726.15,384.834,232.58,NA,5.59,0.558760401,17.55,1.41,0.252236136,54.23833631,0.0026,0.140939564,0.018447623,0,0,0,0.0001,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,9,P3,KP9,Shrub,172,225,15-25,Middle2,Y,726.15,384.834,222.43,NA,5.59,0.534750048,16.64,1.41,0.252236136,51.90767442,0.0022,0.134883286,0.016310397,0,0,0.0016,0.0001,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,9,P3,KP9,Shrub,172,225,25-30,Bottom,Y,726.15,192.417,151.65,NA,5.59,0.699678303,17.02,1.41,0.252236136,33.95855098,0.0056,0.176484152,0.031730895,0,0,0,0.0007,0.0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,E,P1,KP5,Mix,169,173,0-5,Top,Y,265.53,192.417,73.41,NA,5.49,0.273468561,20.79,1.19,0.216757741,11.40579235,0.0018,0.059276428,0.030366202,0,0,0,0.0001,0.0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,E,P1,KP5,Mix,169,173,05-10,Bottom,Y,265.53,192.417,157.58,NA,5.49,0.712151213,20.55,1.19,0.216757741,29.7023133,0.0053,0.154364288,0.034334366,0,0,0,0.0012,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,4,P2,KP4,Mix,172,208,0-5,Top,Y,149.61,192.417,11.25,NA,2.42,0.010446062,9.24,1.55,0.640495868,1.287396694,0.0001,0.00669066,0.01494621,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,4,P2,KP4,Mix,172,208,05-15,Middle,Y,149.61,384.834,56.11,NA,2.42,0.10737097,14.79,1.55,0.640495868,26.46528926,0.0021,0.068770663,0.030536277,0,0,0,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,4,P2,KP4,Mix,172,208,15-20,Bottom,Y,149.61,192.417,45.24,NA,2.42,0.17508848,11.55,1.55,0.640495868,21.57830579,0.0011,0.112143448,0.009808866,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,4,P3,KP4,Mix,172,225,0-5,Top,Y,806.54,192.417,110.52,NA,5.61,0.524641794,9.57,1.16,0.206773619,20.87379679,0.009,0.108482082,0.082963009,0,0,0,0.0001,0.0039,0,0.0049,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,4,P3,KP4,Mix,172,225,05-15,Middle,Y,806.54,384.834,259.2,NA,5.61,0.634247494,15.12,1.16,0.206773619,50.46930481,0.0811,0.131145649,0.618396419,0,0,0.0285,0.001,0.0116,0,0.0113,0,0,0,0.0001,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluane,4,P3,KP4,Mix,172,225,15-25,Middle2,Y,806.54,384.834,262.65,NA,5.61,0.64347225,15.02,1.16,0.206773619,51.20335116,0.0061,0.133053086,0.045846363,0,0,0,0.0004,0.0051,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
