#,Date-Time (GMT/BST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,Low Power Warning,Safe Shut down Low Battery,Stopped,End of File
1,11/20/2020 20:17:18,20.25,,,,,,,
2,11/20/2020 20:27:18,20.50,,,,,,,
3,11/20/2020 20:37:18,20.12,,,,,,,
4,11/20/2020 20:47:18,19.82,,,,,,,
5,11/20/2020 20:57:18,19.60,,,,,,,
6,11/20/2020 21:07:18,19.47,,,,,,,
7,11/20/2020 21:17:18,19.30,,,,,,,
8,11/20/2020 21:27:18,19.26,,,,,,,
9,11/20/2020 21:37:18,19.13,,,,,,,
10,11/20/2020 21:47:18,19.09,,,,,,,
11,11/20/2020 21:57:18,18.96,,,,,,,
12,11/20/2020 22:07:18,18.92,,,,,,,
13,11/20/2020 22:17:18,18.87,,,,,,,
14,11/20/2020 22:27:18,18.79,,,,,,,
15,11/20/2020 22:37:18,18.74,,,,,,,
16,11/20/2020 22:47:18,18.62,,,,,,,
17,11/20/2020 22:57:18,18.57,,,,,,,
18,11/20/2020 23:07:18,18.49,,,,,,,
19,11/20/2020 23:17:18,18.36,,,,,,,
20,11/20/2020 23:27:18,18.36,,,,,,,
21,11/20/2020 23:37:18,18.32,,,,,,,
22,11/20/2020 23:47:18,18.27,,,,,,,
23,11/20/2020 23:57:18,18.27,,,,,,,
24,11/21/2020 00:07:18,18.19,,,,,,,
25,11/21/2020 00:17:18,18.19,,,,,,,
26,11/21/2020 00:27:18,18.14,,,,,,,
27,11/21/2020 00:37:18,18.10,,,,,,,
28,11/21/2020 00:47:18,18.06,,,,,,,
29,11/21/2020 00:57:18,18.02,,,,,,,
30,11/21/2020 01:07:18,18.06,,,,,,,
31,11/21/2020 01:17:18,18.02,,,,,,,
32,11/21/2020 01:27:18,18.02,,,,,,,
33,11/21/2020 01:37:18,17.97,,,,,,,
34,11/21/2020 01:47:18,17.97,,,,,,,
35,11/21/2020 01:57:18,17.93,,,,,,,
36,11/21/2020 02:07:18,17.93,,,,,,,
37,11/21/2020 02:17:18,17.89,,,,,,,
38,11/21/2020 02:27:18,17.89,,,,,,,
39,11/21/2020 02:37:18,17.89,,,,,,,
40,11/21/2020 02:47:18,17.84,,,,,,,
41,11/21/2020 02:57:18,17.84,,,,,,,
42,11/21/2020 03:07:18,17.80,,,,,,,
43,11/21/2020 03:17:18,17.76,,,,,,,
44,11/21/2020 03:27:18,17.76,,,,,,,
45,11/21/2020 03:37:18,17.72,,,,,,,
46,11/21/2020 03:47:18,17.72,,,,,,,
47,11/21/2020 03:57:18,17.63,,,,,,,
48,11/21/2020 04:07:18,17.63,,,,,,,
49,11/21/2020 04:17:18,17.59,,,,,,,
50,11/21/2020 04:27:18,17.50,,,,,,,
51,11/21/2020 04:37:18,17.54,,,,,,,
52,11/21/2020 04:47:18,17.46,,,,,,,
53,11/21/2020 04:57:18,17.46,,,,,,,
54,11/21/2020 05:07:18,17.37,,,,,,,
55,11/21/2020 05:17:18,17.33,,,,,,,
56,11/21/2020 05:27:18,17.29,,,,,,,
57,11/21/2020 05:37:18,17.29,,,,,,,
58,11/21/2020 05:47:18,17.20,,,,,,,
59,11/21/2020 05:57:18,17.16,,,,,,,
60,11/21/2020 06:07:18,17.11,,,,,,,
