"PLOT","Year","Site","Observer","NOTES","phenophase","doy"
"QHI_1",2019,"QHI","Elise Gallois","Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1","plant_first_vis",NA
"QHI_1",2019,"QHI","Elise Gallois","Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1","spring_90snowfree",NA
"QHI_1",2019,"QHI","Elise Gallois","Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1","first_100snowfree",159
"QHI_1",2019,"QHI","Elise Gallois","Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1","first_snowreturn",NA
"QHI_1",2019,"QHI","Elise Gallois","Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1","autumn_50snow",NA
"QHI_1",2019,"QHI","Elise Gallois","Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1",NA,NA
"QHI_1",2019,"QHI","Elise Gallois","Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1","bud_burst",NA
"QHI_1",2019,"QHI","Elise Gallois","Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1","green50",NA
"QHI_1",2019,"QHI","Elise Gallois","Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1","green100",185
"QHI_1",2019,"QHI","Elise Gallois","Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1","first_yellow",197
"QHI_1",2019,"QHI","Elise Gallois","Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1","yellow50",NA
"QHI_1",2019,"QHI","Elise Gallois","Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1","yellow100",NA
"QHI_2",2019,"QHI","Elise Gallois","Limited selection (4th-12th August)- no phenophases can be noted","plant_first_vis",NA
"QHI_2",2019,"QHI","Elise Gallois","Limited selection (4th-12th August)- no phenophases can be noted","spring_90snowfree",NA
"QHI_2",2019,"QHI","Elise Gallois","Limited selection (4th-12th August)- no phenophases can be noted","first_100snowfree",159
"QHI_2",2019,"QHI","Elise Gallois","Limited selection (4th-12th August)- no phenophases can be noted","first_snowreturn",NA
"QHI_2",2019,"QHI","Elise Gallois","Limited selection (4th-12th August)- no phenophases can be noted","autumn_50snow",NA
"QHI_2",2019,"QHI","Elise Gallois","Limited selection (4th-12th August)- no phenophases can be noted",NA,NA
"QHI_2",2019,"QHI","Elise Gallois","Limited selection (4th-12th August)- no phenophases can be noted","bud_burst",NA
"QHI_2",2019,"QHI","Elise Gallois","Limited selection (4th-12th August)- no phenophases can be noted","green50",NA
"QHI_2",2019,"QHI","Elise Gallois","Limited selection (4th-12th August)- no phenophases can be noted","green100",NA
"QHI_2",2019,"QHI","Elise Gallois","Limited selection (4th-12th August)- no phenophases can be noted","first_yellow",205
"QHI_2",2019,"QHI","Elise Gallois","Limited selection (4th-12th August)- no phenophases can be noted","yellow50",NA
"QHI_2",2019,"QHI","Elise Gallois","Limited selection (4th-12th August)- no phenophases can be noted","yellow100",NA
"QHI_3",2019,"QHI","Elise Gallois",NA,"plant_first_vis",NA
"QHI_3",2019,"QHI","Elise Gallois",NA,"spring_90snowfree",NA
"QHI_3",2019,"QHI","Elise Gallois",NA,"first_100snowfree",159
"QHI_3",2019,"QHI","Elise Gallois",NA,"first_snowreturn",NA
"QHI_3",2019,"QHI","Elise Gallois",NA,"autumn_50snow",NA
"QHI_3",2019,"QHI","Elise Gallois",NA,NA,NA
"QHI_3",2019,"QHI","Elise Gallois",NA,"bud_burst",NA
"QHI_3",2019,"QHI","Elise Gallois",NA,"green50",NA
"QHI_3",2019,"QHI","Elise Gallois",NA,"green100",NA
"QHI_3",2019,"QHI","Elise Gallois",NA,"first_yellow",212
"QHI_3",2019,"QHI","Elise Gallois",NA,"yellow50",NA
"QHI_3",2019,"QHI","Elise Gallois",NA,"yellow100",NA
"QHI_6",2019,"QHI",NA,NA,"plant_first_vis",NA
"QHI_6",2019,"QHI",NA,NA,"spring_90snowfree",NA
"QHI_6",2019,"QHI",NA,NA,"first_100snowfree",152
"QHI_6",2019,"QHI",NA,NA,"first_snowreturn",NA
"QHI_6",2019,"QHI",NA,NA,"autumn_50snow",NA
"QHI_6",2019,"QHI",NA,NA,NA,NA
"QHI_6",2019,"QHI",NA,NA,"bud_burst",NA
"QHI_6",2019,"QHI",NA,NA,"green50",NA
"QHI_6",2019,"QHI",NA,NA,"green100",183
"QHI_6",2019,"QHI",NA,NA,"first_yellow",209
"QHI_6",2019,"QHI",NA,NA,"yellow50",NA
"QHI_6",2019,"QHI",NA,NA,"yellow100",NA
"QHI_14",2019,"QHI","Elise Gallois","Limited selection (20th July - 13th August), gaps between 21st July - 9th Aug - no phenophases can be noted","plant_first_vis",NA
"QHI_14",2019,"QHI","Elise Gallois","Limited selection (20th July - 13th August), gaps between 21st July - 9th Aug - no phenophases can be noted","spring_90snowfree",NA
"QHI_14",2019,"QHI","Elise Gallois","Limited selection (20th July - 13th August), gaps between 21st July - 9th Aug - no phenophases can be noted","first_100snowfree",165
"QHI_14",2019,"QHI","Elise Gallois","Limited selection (20th July - 13th August), gaps between 21st July - 9th Aug - no phenophases can be noted","first_snowreturn",NA
"QHI_14",2019,"QHI","Elise Gallois","Limited selection (20th July - 13th August), gaps between 21st July - 9th Aug - no phenophases can be noted","autumn_50snow",NA
"QHI_14",2019,"QHI","Elise Gallois","Limited selection (20th July - 13th August), gaps between 21st July - 9th Aug - no phenophases can be noted",NA,NA
"QHI_14",2019,"QHI","Elise Gallois","Limited selection (20th July - 13th August), gaps between 21st July - 9th Aug - no phenophases can be noted","bud_burst",165
