site,lat,lon,type,Status
Cairngorms,57.07,-3.49,Alpine,Completed
Qikiqtaruk,70.4928,-147.2923,Arctic,2023 To Collect
Niwot Ridge,40.059457,-105.616993,Alpine,Completed
Utqiagvik,71.288349,-156.77261,Arctic,2023 To Collect
Abisko,68.346201,18.830636,Arctic,In Frozen Storage
Toolik Lake,68.628275,-149.59412,Arctic,Completed
Kluane,61.285046,-138.9287,Alpine,Completed
BC Coastal Mountains,50.042282,-123.1929,Alpine,Completed
Finnmark,69.32724,25.337724,Arctic,In Frozen Storage
Svalbard,78.186313,15.984797,Arctic,2023 To Collect
Swiss Alps,46.46,9.5,Alpine,In Frozen Storage
Healy ,63.670062,-148.27434,Alpine,In Frozen Storage
