"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"1","1","Root Biomass vs Temperature & Community & Phenophase","b_Intercept",0.24,0.14,-0.05,0.49
"2","  ","  ","b_CommunityMix",0,0.1,-0.2,0.2
"3","  ","  ","b_CommunityShrub",0.03,0.11,-0.21,0.24
"4","  ","  ","b_Core_IDP2",0.19,0.11,-0.03,0.4
"5","  ","  ","b_Core_IDP3",0.28,0.11,0.07,0.5
"6","  ","  ","b_scale_temp",0.02,0.02,-0.03,0.06
"7","  ","  ","b_CommunityMix:Core_IDP2",-0.14,0.14,-0.42,0.14
"8","  ","  ","b_CommunityShrub:Core_IDP2",-0.09,0.16,-0.4,0.23
"9","  ","  ","b_CommunityMix:Core_IDP3",-0.06,0.14,-0.34,0.21
"10","  ","  ","b_CommunityShrub:Core_IDP3",-0.13,0.15,-0.43,0.17
"11","  ","  ","sd_Site__Intercept",0.21,0.13,0.07,0.55
"12","  ","  ","sigma",0.32,0.03,0.27,0.38
"13","  ","  ","alpha",7.53,2.21,3.9,12.5
"14","  ","  ","r_Site[BC_coastal,Intercept]",0.12,0.12,-0.1,0.38
"15","  ","  ","r_Site[Cairngorms,Intercept]",-0.09,0.13,-0.37,0.16
"16","  ","  ","r_Site[Kluane,Intercept]",-0.11,0.12,-0.36,0.12
"17","  ","  ","r_Site[Niwot,Intercept]",0.16,0.11,-0.06,0.4
"18","  ","  ","r_Site[Toolik,Intercept]",-0.09,0.11,-0.33,0.15
"19","  ","  ","lprior",-8.62,1.15,-11.57,-7.17
"20","2","Root Growth Rate vs Temperature & Community","b_Intercept",0.01,0.01,0,0.02
"21","  ","  ","b_CommunityMix",0,0,-0.01,0
"22","  ","  ","b_CommunityShrub",0,0,-0.01,0
"23","  ","  ","b_scale_temp",0,0,0,0
"24","  ","  ","sd_Site__Intercept",0.01,0.01,0,0.02
"25","  ","  ","sigma",0.01,0,0.01,0.01
"26","  ","  ","r_Site[BC_coastal,Intercept]",0.01,0.01,0,0.02
"27","  ","  ","r_Site[Cairngorms,Intercept]",0,0.01,-0.02,0.01
"28","  ","  ","r_Site[Kluane,Intercept]",0,0.01,-0.02,0.01
"29","  ","  ","r_Site[Niwot,Intercept]",0.01,0.01,0,0.02
"30","  ","  ","r_Site[Toolik,Intercept]",0,0.01,-0.02,0.01
"31","  ","  ","lprior",-4.37,0,-4.37,-4.37
"32","3","Root Synchrony Metric vs Temperature & Community","b_Intercept",2.19,1.49,-0.66,5.2
"33","  ","  ","b_CommunityMix",-5.27,1.83,-8.95,-1.69
"34","  ","  ","b_CommunityShrub",-0.5,2,-4.48,3.44
"35","  ","  ","b_scale_temp",-1.18,0.61,-2.42,0.01
"36","  ","  ","sd_Site__Intercept",1.13,1.02,0.04,3.81
"37","  ","  ","sigma",4.31,0.57,3.37,5.61
"38","  ","  ","r_Site[BC_coastal,Intercept]",-0.42,1.14,-3.28,1.5
"39","  ","  ","r_Site[Cairngorms,Intercept]",0.3,1.18,-1.8,3.27
"40","  ","  ","r_Site[Kluane,Intercept]",0.07,1.09,-2.23,2.5
"41","  ","  ","r_Site[Niwot,Intercept]",0.19,0.96,-1.74,2.34
"42","  ","  ","r_Site[Toolik,Intercept]",-0.28,1.03,-2.82,1.63
"43","  ","  ","lprior",-6.4,0.31,-7.18,-6
